timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
300267.14,2,262144,64,392294,25849670966,4,187646562,9621,5,5,9665,2582,576,2085158,0,1,154473,6,117508164,1154,1,4,309,489354051,5,1957416204,5,67750,2866,2,24,576,117596206,8033,8207423417,576,108,0,3,1,2,2,769,3,8170663925,8141149925,313316854,496903727,496903727,3,1,25838993836,73389,73389,2,2,2,496903731,3,3,363414,5107652,1489447,79426,67743,8170663925,2005732,116110945,1103
305271.96,2,262144,64,393812,25949468330,4,192273513,9663,5,5,9665,2591,576,2092804,0,1,155100,6,117508164,1154,1,4,309,491322298,5,1965289192,5,68023,2868,2,24,576,118063658,8062,8240101462,576,108,0,3,1,2,2,769,3,8203192903,8172667920,318442204,498818496,498818496,3,1,25937709856,73389,73389,2,2,2,498802116,3,3,367997,5126844,1495527,79753,68016,8203192903,2013051,116572344,1103
310276.85,2,262144,64,396954,26156661438,4,196276267,9746,5,5,9665,2610,576,2108563,0,1,156355,6,117508164,1154,1,4,309,495187931,5,1980751724,5,68565,2870,2,24,576,118982621,8075,8305914405,576,108,0,3,1,2,2,769,3,8268711514,8237959793,323426041,502807556,502807556,3,1,26145992944,73389,73389,2,2,2,502807560,3,3,368784,5165594,1509888,80404,68558,8268711514,2028159,117476952,1103
315281.16,2,262144,64,400757,26407716812,4,199951858,9861,5,5,9665,2639,576,2129774,0,1,157860,6,117508164,1154,1,4,309,499946319,5,1999785276,5,69202,2886,2,24,576,120276921,8117,8383368793,576,108,0,3,1,2,2,769,3,8345811394,8316862665,328480037,507636074,507636074,3,1,26397075880,73389,73389,2,2,2,507636078,3,3,386427,5217435,1549581,81236,69195,8345811394,2048538,118731695,1103
320286.56,2,262144,64,405661,26730384352,4,203200359,10010,5,5,9665,2668,576,2162073,0,1,159740,6,117508164,1154,1,4,309,506099986,5,2024399944,5,70048,2974,2,24,576,121975059,8226,8485201392,576,108,0,3,1,2,2,769,3,8447174283,8418453433,333552833,513845166,513845166,3,1,26719948664,73389,73389,2,2,2,513845170,3,3,401737,5295239,1587645,82348,70041,8447174283,2079725,120391908,1103
325290.31,3,262144,64,410927,27078006656,4,206315685,10171,5,5,9665,2702,576,2196339,0,1,161851,6,117508164,1154,1,4,309,512746687,5,2050986748,5,70959,3187,2,24,576,123764107,8365,8595644363,576,108,0,3,1,2,2,769,3,8557111286,8527808772,338591598,520537142,520537142,3,1,27067931416,73389,73389,2,2,2,520537146,3,3,416798,5379522,1625838,83555,70952,8557111286,2112784,122142894,1103
330297.82,3,262144,64,416361,27436349424,4,209207285,10347,5,5,9665,2734,576,2233861,0,1,163976,6,117508164,1154,1,4,309,519427152,5,2077643936,5,71890,3323,2,24,576,125783999,8487,8709540509,576,108,0,3,1,2,2,769,3,8670484773,8640577275,343632059,527411501,527411501,3,1,27425398084,73389,73389,2,2,2,527411505,3,3,432619,5470043,1671578,84914,71883,8670484773,2148947,124117374,1103
335305.63,3,262144,64,421730,27789744590,4,212162499,10522,5,5,9665,2769,576,2272087,0,1,166094,6,117508164,1154,1,4,309,526129539,5,2104453492,5,72827,3536,2,24,576,127745316,8609,8822933081,576,108,0,3,1,2,2,769,3,8783351946,8752346064,348709933,534191874,534191874,3,1,27777977480,73389,73389,2,2,2,534191878,3,3,445314,5561980,1717546,86264,72820,8783351946,2185823,126032899,1103
340313.10,4,262144,64,427270,28154418808,4,214875165,10715,5,5,9665,2803,576,2315070,0,1,168254,6,117508164,1154,1,4,309,533031316,5,2132125264,5,73771,3817,2,24,576,129924932,10066,8937999602,576,108,0,3,1,2,2,769,3,8897878814,8866856136,353763665,541226199,541226199,3,1,28143762380,73389,73389,2,2,2,541226203,3,3,453540,5663595,1743519,87741,73764,8897878814,2227329,128186989,1103
345327.65,9,262144,64,432772,28516204480,4,217285505,10931,5,5,9665,2841,585,2364385,2,1,170433,6,118949768,1172,1,4,309,539939453,5,2159757812,5,74720,4244,2,24,585,132416640,14211,9051666188,583,118,2,3,1,2,2,769,3,9010997324,8980550996,358854880,548197147,548197147,3,1,28506251676,73389,73389,2,2,2,548197151,3,3,468838,5780571,1803446,89378,74713,9010997324,2275007,130618712,1151
350335.62,11,262144,64,439057,28930016734,4,219193861,11184,5,5,9665,2883,585,2425828,2,1,172897,6,118949768,1172,1,4,309,547670534,5,2190682136,5,75783,4823,2,24,585,135354888,18408,9181002950,583,118,2,3,1,2,2,769,3,9139719672,9111165328,363928554,556138625,556138625,3,1,28919208532,73389,73389,2,2,2,556138629,3,3,472228,5925021,1846880,91443,75776,9139719672,2334385,133513994,1151
355341.81,14,262144,64,444315,29277163014,4,221740544,11389,5,5,9665,2917,585,2470324,2,1,175032,6,118949768,1172,1,4,309,554486180,5,2217944720,5,76700,5174,2,24,585,137706200,20334,9292334055,583,118,2,3,1,2,2,769,3,9250522511,9220216369,369001681,562822409,562822409,3,1,29266765300,73389,73389,2,2,2,562822413,3,3,476464,6031089,1874664,93007,76693,9250522511,2377317,135837563,1151
360347.71,21,262144,64,450259,29668555096,4,224214981,11601,5,5,9665,2954,585,2520906,2,1,177302,6,118949768,1172,1,4,309,561736330,5,2246945320,5,77718,5487,2,24,585,140122991,21776,9416080077,583,118,2,3,1,2,2,769,3,9373687487,9343612317,374082259,570337903,570337903,3,1,29657570988,73389,73389,2,2,2,570337907,3,3,487277,6150291,1916936,94739,77711,9373687487,2426167,138212368,1151
365353.64,22,262144,64,455865,30038157990,4,226600420,11818,5,5,9665,2991,585,2572547,2,1,179533,6,118949768,1172,1,4,309,568697431,5,2274789724,5,78685,5763,2,24,585,142617035,25537,9532159991,583,118,2,3,1,2,2,769,3,9489211767,9459937825,379155951,577449830,577449830,3,1,30027391192,73389,73389,2,2,2,577449834,3,3,491111,6272033,1950891,96488,78678,9489211767,2476059,140672102,1151
370362.01,26,262144,64,461619,30416691174,4,228841989,12047,5,5,9665,3032,585,2631027,2,1,181782,6,118949768,1172,1,4,309,575802357,5,2303209428,5,79721,6192,2,24,585,145246488,28477,9656723934,583,118,2,3,1,2,2,769,3,9613181457,9579480442,384229208,584711372,584727756,3,1,30404991376,73389,73389,2,2,2,584711376,3,3,497804,6408201,1989084,98387,79714,9613181457,2532640,143263402,1151
375371.42,31,262144,64,467528,30806937900,4,231141698,12270,5,5,9665,3073,594,2698372,2,1,184038,6,120449438,1190,1,4,309,582674940,5,2330699760,5,80887,6665,2,24,594,147787504,39284,9796681050,592,138,2,3,1,2,2,769,3,9752482546,9704313242,389316073,592082199,592082199,3,1,30788274380,73389,73389,2,2,2,592082203,3,3,507047,6566842,2053209,100458,80880,9752482546,2597914,145740536,1224
380385.99,33,262144,64,472840,31156947428,4,233135023,12518,5,5,9665,3124,594,2769292,2,1,186292,6,120449438,1190,1,4,309,589699397,5,2358797588,5,81861,7655,2,24,594,150652429,53257,9918364047,592,138,2,3,1,2,2,769,3,9873595397,9815144478,394436074,598739692,598739692,3,1,31134464016,73389,73389,2,2,2,598739696,3,3,507765,6725832,2081766,102469,81854,9873595397,2666823,148577067,1224
